ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
0,Beautifly,Bug,Flying,0,0,0,0,0,0,0,3,
1,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,FALSE
2,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,FALSE
3,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,FALSE
4,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,FALSE
5,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,FALSE
6,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,FALSE
7,Surskit,Bug,Water,269,40,30,32,50,52,65,3,FALSE
8,Wurmple,Bug,None,195,45,45,35,20,30,20,3,FALSE
9,Silcoon,Bug,None,205,50,35,55,25,25,15,3,FALSE
10,Cascoon,Bug,None,205,50,35,55,25,25,15,3,FALSE
11,Volbeat,Bug,None,400,65,73,55,47,75,85,3,FALSE
12,Illumise,Bug,None,400,65,47,55,73,75,85,3,FALSE
13,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,FALSE
14,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,FALSE
15,Poochyena,Dark,None,220,35,55,35,30,30,35,3,FALSE
16,Mightyena,Dark,None,420,70,90,70,60,60,70,3,FALSE
17,Absol,Dark,None,465,65,130,60,75,60,75,3,FALSE
18,AbsolMega Absol,Dark,None,565,65,150,60,115,60,115,3,FALSE
19,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,FALSE
20,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,FALSE
21,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,FALSE
22,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,FALSE
23,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,TRUE
24,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,TRUE
25,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,TRUE
